,period_begin,period_end,region_type,region_type_id,region_name,region_id,duration,adjusted_average_homes_sold,active_listings
211238,2017-11-27,2017-12-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,253.0,1273
211295,2017-12-04,2017-12-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,200.0,1197
214271,2017-12-18,2017-12-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,204.0,840
219151,2018-03-12,2018-03-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,204.0,1372
219478,2018-03-19,2018-03-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,227.0,1405
220051,2018-02-05,2018-02-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,132.0,1151
220137,2018-03-26,2018-04-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,268.0,1363
223194,2018-01-08,2018-01-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,121.0,810
234725,2018-06-18,2018-06-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,269.0,1712
242080,2018-01-15,2018-01-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,98.0,959
274408,2018-08-06,2018-08-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,233.0,1554
275494,2018-01-22,2018-01-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,109.0,1047
275925,2018-01-29,2018-02-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,126.0,1085
297504,2018-05-21,2018-05-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,295.0,1612
307320,2018-05-28,2018-06-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,270.0,1628
311094,2018-07-23,2018-07-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,242.0,1627
312475,2018-06-25,2018-07-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,295.0,1664
321610,2018-07-30,2018-08-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,209.0,1613
321633,2018-07-02,2018-07-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,185.0,1535
324788,2018-07-09,2018-07-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,250.0,1622
330770,2018-07-16,2018-07-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,240.0,1665
348414,2018-08-13,2018-08-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,228.0,1548
348471,2018-08-20,2018-08-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,190.0,1525
351458,2018-04-16,2018-04-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,253.0,1564
365648,2018-04-23,2018-04-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,253.0,1563
365705,2018-04-30,2018-05-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,242.0,1576
367910,2018-10-22,2018-10-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,243.0,2312
367967,2018-10-29,2018-11-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,277.0,2268
382142,2018-12-31,2019-01-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,124.0,1080
409864,2018-11-05,2018-11-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,213.0,2212
428530,2018-12-17,2018-12-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,192.0,1308
428587,2018-12-24,2018-12-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,121.0,1089
452003,2018-11-12,2018-11-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,229.0,2087
458570,2018-09-03,2018-09-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,175.0,1798
458627,2018-09-10,2018-09-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,207.0,2068
459813,2018-09-24,2018-09-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,196.0,2251
459870,2018-10-01,2018-10-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,231.0,2264
461106,2018-09-17,2018-09-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,191.0,2212
