,period_begin,period_end,region_type,region_type_id,region_name,region_id,duration,adjusted_average_homes_sold,active_listings
1865754,2021-08-23,2021-08-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,296.0,2170
1865811,2021-08-30,2021-09-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,311.0,2049
1885936,2021-12-27,2022-01-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,162.0,1048
1893216,2021-10-11,2021-10-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,302.0,2582
1913555,2022-08-15,2022-08-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,197.0,2471
1921537,2022-03-21,2022-03-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,303.0,1934
1921594,2022-03-28,2022-04-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,291.0,1940
1928647,2022-01-24,2022-01-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,118.0,1445
1928704,2022-01-31,2022-02-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,139.0,1568
1939747,2022-07-18,2022-07-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,219.0,2590
1946888,2022-05-16,2022-05-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,284.0,2443
1946945,2022-05-23,2022-05-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,318.0,2413
1956565,2022-02-07,2022-02-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,152.0,1608
1956622,2022-02-14,2022-02-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,218.0,1663
1975079,2023-05-29,2023-06-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,183.0,2167
1975139,2023-06-05,2023-06-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,218.0,2184
1975611,2022-06-06,2022-06-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,261.0,2567
1975671,2022-06-13,2022-06-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,245.0,2646
1980476,2022-10-31,2022-11-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,209.0,2682
1980536,2022-11-07,2022-11-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,149.0,2556
1986760,2022-04-04,2022-04-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,277.0,2036
1986817,2022-04-11,2022-04-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,294.0,2022
1989876,2022-10-17,2022-10-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,217.0,2743
1989936,2022-10-24,2022-10-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,185.0,2739
1990505,2022-03-14,2022-03-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,277.0,1936
1993684,2021-10-18,2021-10-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,356.0,2559
1993741,2021-10-25,2021-10-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,349.0,2482
2006016,2022-11-14,2022-11-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,218.0,2463
2027968,2022-06-20,2022-06-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,221.0,2689
2028028,2022-06-27,2022-07-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,276.0,2580
2037290,2022-07-25,2022-07-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,235.0,2538
2041203,2022-05-30,2022-06-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,226.0,2480
2060140,2022-03-07,2022-03-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,268.0,1906
2066663,2022-01-03,2022-01-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,198.0,1139
2066720,2022-01-10,2022-01-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,168.0,1243
2069878,2022-12-05,2022-12-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,162.0,2028
2088244,2023-01-23,2023-01-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,67.0,1595
2088304,2023-01-30,2023-02-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,109.0,1676
2096522,2023-05-15,2023-05-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,221.0,2168
2096582,2023-05-22,2023-05-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,214.0,2127
2104862,2022-08-01,2022-08-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,170.0,2500
2117854,2022-08-08,2022-08-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,204.0,2456
2129201,2022-08-22,2022-08-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,201.0,2412
2136057,2022-05-09,2022-05-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,282.0,2316
2143959,2023-05-08,2023-05-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,186.0,2086
2150776,2022-05-02,2022-05-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,315.0,2217
2153700,2023-02-06,2023-02-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,102.0,1656
2159054,2022-07-04,2022-07-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,152.0,2558
2172025,2023-03-06,2023-03-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,179.0,1764
2172085,2023-03-13,2023-03-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,169.0,1805
2222919,2023-04-10,2023-04-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,186.0,1918
2222979,2023-04-17,2023-04-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,175.0,2021
2236755,2023-06-19,2023-06-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,180.0,2178
2244104,2022-04-18,2022-04-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,305.0,2073
2244161,2022-04-25,2022-05-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,318.0,2163
2262041,2024-03-11,2024-03-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,181.0,1877
2290433,2023-02-13,2023-02-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,151.0,1721
2296707,2022-11-21,2022-11-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,129.0,2248
2296767,2022-11-28,2022-12-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,173.0,2186
2305734,2023-06-12,2023-06-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,226.0,2201
2314952,2022-08-29,2022-09-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,224.0,2287
2315012,2022-09-05,2022-09-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,176.0,2498
2318668,2022-09-12,2022-09-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,188.0,2687
2320945,2022-09-19,2022-09-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,217.0,2774
2321005,2022-09-26,2022-10-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,219.0,2781
2360177,2023-03-20,2023-03-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,184.0,1831
2361174,2023-09-11,2023-09-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,155.0,2352
2361234,2023-09-18,2023-09-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,178.0,2418
2369946,2024-01-15,2024-01-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,83.0,1380
2487246,2023-06-26,2023-07-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,224.0,2055
2487306,2023-07-03,2023-07-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,147.0,1993
2493964,2023-12-11,2023-12-17,metro,-2,"San Francisco, CA metro area",41884,1 weeks,161.0,1643
2518173,2023-03-27,2023-04-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,178.0,1870
2518233,2023-04-03,2023-04-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,154.0,1831
2521891,2023-01-09,2023-01-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,119.0,1353
2521951,2023-01-16,2023-01-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,95.0,1479
2547856,2023-02-20,2023-02-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,134.0,1718
2547916,2023-02-27,2023-03-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,156.0,1784
2551031,2022-12-19,2022-12-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,144.0,1600
2555712,2023-01-02,2023-01-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,94.0,1337
2562176,2024-01-22,2024-01-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,80.0,1478
2562236,2024-01-29,2024-02-04,metro,-2,"San Francisco, CA metro area",41884,1 weeks,103.0,1549
2565107,2022-12-12,2022-12-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,156.0,1852
2567445,2023-12-18,2023-12-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,147.0,1377
2567505,2023-12-25,2023-12-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,102.0,1176
2587439,2024-06-10,2024-06-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,221.0,2322
2587502,2024-06-17,2024-06-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,168.0,2311
2592398,2023-07-10,2023-07-16,metro,-2,"San Francisco, CA metro area",41884,1 weeks,194.0,2059
2592458,2023-07-17,2023-07-23,metro,-2,"San Francisco, CA metro area",41884,1 weeks,179.0,2088
2632137,2024-01-08,2024-01-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,119.0,1244
2636515,2023-04-24,2023-04-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,199.0,2049
2636575,2023-05-01,2023-05-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,179.0,2076
2641204,2024-02-05,2024-02-11,metro,-2,"San Francisco, CA metro area",41884,1 weeks,117.0,1570
2641264,2024-02-12,2024-02-18,metro,-2,"San Francisco, CA metro area",41884,1 weeks,161.0,1646
2645588,2023-09-25,2023-10-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,192.0,2462
2645648,2023-10-02,2023-10-08,metro,-2,"San Francisco, CA metro area",41884,1 weeks,166.0,2477
2649425,2023-09-04,2023-09-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,146.0,2173
2665234,2023-08-14,2023-08-20,metro,-2,"San Francisco, CA metro area",41884,1 weeks,164.0,2052
2665294,2023-08-21,2023-08-27,metro,-2,"San Francisco, CA metro area",41884,1 weeks,171.0,2154
2672577,2023-11-27,2023-12-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,201.0,1995
2672637,2023-12-04,2023-12-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,156.0,1824
2673667,2024-04-29,2024-05-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,208.0,2257
2673730,2024-05-06,2024-05-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,224.0,2309
2675252,2023-11-13,2023-11-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,212.0,2236
2675312,2023-11-20,2023-11-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,115.0,2048
2687917,2023-07-31,2023-08-06,metro,-2,"San Francisco, CA metro area",41884,1 weeks,170.0,2032
2687977,2023-08-07,2023-08-13,metro,-2,"San Francisco, CA metro area",41884,1 weeks,155.0,1934
2690655,2024-02-19,2024-02-25,metro,-2,"San Francisco, CA metro area",41884,1 weeks,165.0,1721
2695890,2024-01-01,2024-01-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,91.0,1181
2721212,2023-08-28,2023-09-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,205.0,1941
2770708,2022-12-26,2023-01-01,metro,-2,"San Francisco, CA metro area",41884,1 weeks,112.0,1384
2772397,2023-07-24,2023-07-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,161.0,2030
2813533,2023-10-16,2023-10-22,metro,-2,"San Francisco, CA metro area",41884,1 weeks,201.0,2551
2813593,2023-10-23,2023-10-29,metro,-2,"San Francisco, CA metro area",41884,1 weeks,189.0,2542
2868614,2024-02-26,2024-03-03,metro,-2,"San Francisco, CA metro area",41884,1 weeks,196.0,1780
2868674,2024-03-04,2024-03-10,metro,-2,"San Francisco, CA metro area",41884,1 weeks,155.0,1815
2895231,2023-11-06,2023-11-12,metro,-2,"San Francisco, CA metro area",41884,1 weeks,149.0,2371
2896312,2024-04-08,2024-04-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,216.0,2084
2898898,2024-04-15,2024-04-21,metro,-2,"San Francisco, CA metro area",41884,1 weeks,209.0,2202
2898961,2024-04-22,2024-04-28,metro,-2,"San Francisco, CA metro area",41884,1 weeks,217.0,2229
2900742,2024-03-25,2024-03-31,metro,-2,"San Francisco, CA metro area",41884,1 weeks,197.0,1929
2900802,2024-04-01,2024-04-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,202.0,1999
2907785,2024-06-24,2024-06-30,metro,-2,"San Francisco, CA metro area",41884,1 weeks,241.0,2245
2911541,2023-10-09,2023-10-15,metro,-2,"San Francisco, CA metro area",41884,1 weeks,183.0,2503
2931368,2024-03-18,2024-03-24,metro,-2,"San Francisco, CA metro area",41884,1 weeks,176.0,1933
2936884,2023-10-30,2023-11-05,metro,-2,"San Francisco, CA metro area",41884,1 weeks,173.0,2468
3052373,2024-07-01,2024-07-07,metro,-2,"San Francisco, CA metro area",41884,1 weeks,162.0,2041
3136675,2024-07-08,2024-07-14,metro,-2,"San Francisco, CA metro area",41884,1 weeks,202.0,2073
3167245,2024-06-03,2024-06-09,metro,-2,"San Francisco, CA metro area",41884,1 weeks,219.0,2331
3178707,2024-05-13,2024-05-19,metro,-2,"San Francisco, CA metro area",41884,1 weeks,221.0,2378
3213784,2024-05-20,2024-05-26,metro,-2,"San Francisco, CA metro area",41884,1 weeks,241.0,2301
3213847,2024-05-27,2024-06-02,metro,-2,"San Francisco, CA metro area",41884,1 weeks,206.0,2306
